Date,Adj Close
09/08/19,131.33342
12/08/19,129.502304
13/08/19,132.182251
14/08/19,128.20163
15/08/19,127.914543
16/08/19,130.258911
19/08/19,132.440567
20/08/19,131.340179
21/08/19,132.804184
22/08/19,131.837738
23/08/19,127.637032
26/08/19,129.608246
27/08/19,129.885742
28/08/19,129.713486
29/08/19,132.163086
30/08/19,131.914276
03/09/19,130.172775
04/09/19,131.694214
05/09/19,134.009857
06/09/19,133.10083
09/09/19,131.588974
10/09/19,130.211105
11/09/19,130.249359
12/09/19,131.588974
13/09/19,131.397568
16/09/19,130.450302
17/09/19,131.464539
18/09/19,132.545837
19/09/19,134.985855
20/09/19,133.426132
23/09/19,133.139084
24/09/19,131.454971
25/09/19,133.349609
26/09/19,133.521835
27/09/19,131.789917
30/09/19,133.033829
01/10/19,131.158401
02/10/19,128.842758
03/10/19,130.402466
04/10/19,132.163086
07/10/19,131.206207
08/10/19,129.818726
09/10/19,132.277908
10/10/19,133.10083
11/10/19,133.655807
14/10/19,133.531433
15/10/19,135.464294
16/10/19,134.354294
17/10/19,133.66539
18/10/19,131.483688
21/10/19,132.459747
22/10/19,130.488571
23/10/19,131.32106
24/10/19,133.904587
25/10/19,134.660507
28/10/19,137.971283
29/10/19,136.669952
30/10/19,138.373169
31/10/19,137.186661
01/11/19,137.521561
04/11/19,138.315796
05/11/19,138.22966
06/11/19,137.846909
07/11/19,138.038269
08/11/19,139.664963
11/11/19,139.808517
12/11/19,140.727097
13/11/19,140.956741
14/11/19,141.674362
15/11/19,143.501999
18/11/19,143.856064
19/11/19,143.903885
20/11/19,143.654282
21/11/19,143.519852
22/11/19,143.625488
25/11/19,145.200043
26/11/19,145.968185
27/11/19,146.246613
29/11/19,145.34407
02/12/19,143.587021
03/12/19,143.356567
04/12/19,143.875092
05/12/19,143.95192
06/12/19,145.699341
09/12/19,145.324875
10/12/19,145.104065
11/12/19,145.651337
12/12/19,147.129944
13/12/19,148.36853
16/12/19,149.328644
17/12/19,148.52211
18/12/19,148.214874
19/12/19,149.50148
20/12/19,151.133636
23/12/19,151.133636
24/12/19,151.104858
26/12/19,152.34343
27/12/19,152.621857
30/12/19,151.306458
31/12/19,151.412094
02/01/20,154.215652
03/01/20,152.295441
06/01/20,152.689072
07/01/20,151.296906
08/01/20,153.706802
09/01/20,155.627045
10/01/20,154.906952
13/01/20,156.769623
14/01/20,155.665421
15/01/20,156.673599
16/01/20,159.544388
17/01/20,160.437317
21/01/20,159.861221
22/01/20,159.093094
23/01/20,160.072464
